Estación;latitude;longitude;Variable;Hora;Valor_max;Valor_mean;Valor_min
CAI 20 de Julio;4.572588;-74.092548;L90;16;85.8;47.66316812439272;7.6
CAI 20 de Julio;4.572588;-74.092548;L90;17;85.5;47.802328401649675;7.0
CAI 20 de Julio;4.572588;-74.092548;L90;18;85.6;47.41436762225991;6.8
CAI 20 de Julio;4.572588;-74.092548;L90;19;85.0;46.41109759065455;6.7
CAI 20 de Julio;4.572588;-74.092548;L90;20;84.9;45.147004608295404;6.4
CAI 20 de Julio;4.572588;-74.092548;L90;21;83.9;43.91433430515086;6.1
CAI 20 de Julio;4.572588;-74.092548;L90;22;83.7;42.481663837012086;5.9
CAI 20 de Julio;4.572588;-74.092548;L90;23;83.4;40.34180936211491;4.3
CAI 20 de Julio;4.572588;-74.092548;Leq;0;91.3;47.135732059321164;7.9
CAI 20 de Julio;4.572588;-74.092548;Leq;1;84.4;45.003115573152186;5.6
CAI 20 de Julio;4.572588;-74.092548;Leq;2;82.9;44.44151217556882;8.5
CAI 20 de Julio;4.572588;-74.092548;Leq;3;86.9;43.71353342018235;9.2
CAI 20 de Julio;4.572588;-74.092548;Leq;4;83.6;47.108983593437344;9.3
CAI 20 de Julio;4.572588;-74.092548;Leq;5;80.1;50.87708478977318;13.0
CAI 20 de Julio;4.572588;-74.092548;Leq;6;79.7;53.2893419740776;14.6
CAI 20 de Julio;4.572588;-74.092548;Leq;7;79.8;53.69873455264449;15.0
CAI 20 de Julio;4.572588;-74.092548;Leq;8;86.9;53.595378863409856;14.3
CAI 20 de Julio;4.572588;-74.092548;Leq;9;79.9;53.74877988294826;14.1
CAI 20 de Julio;4.572588;-74.092548;Leq;10;91.4;54.323876599543695;12.5
CAI 20 de Julio;4.572588;-74.092548;Leq;11;82.0;54.561557093425805;14.3
CAI 20 de Julio;4.572588;-74.092548;Leq;12;82.5;54.926575097044015;14.3
CAI 20 de Julio;4.572588;-74.092548;Leq;13;83.1;55.12769192422723;14.0
CAI 20 de Julio;4.572588;-74.092548;Leq;14;80.9;55.23899559823941;14.1
CAI 20 de Julio;4.572588;-74.092548;Leq;15;81.0;55.11035393818577;14.4
CAI 20 de Julio;4.572588;-74.092548;Leq;16;78.2;54.98246798719485;14.5
CAI 20 de Julio;4.572588;-74.092548;Leq;17;80.7;54.93198342155201;15.1
CAI 20 de Julio;4.572588;-74.092548;Leq;18;76.5;54.554979664715944;14.6
CAI 20 de Julio;4.572588;-74.092548;Leq;19;77.4;53.809489928850624;14.7
CAI 20 de Julio;4.572588;-74.092548;Leq;20;78.6;52.88090981723757;14.5
CAI 20 de Julio;4.572588;-74.092548;Leq;21;76.1;52.026880752301295;14.6
CAI 20 de Julio;4.572588;-74.092548;Leq;22;87.4;51.022805353041065;11.0
CAI 20 de Julio;4.572588;-74.092548;Leq;23;90.2;49.261554978528075;12.2
CAI 20 de Julio;4.572588;-74.092548;Lmax;0;140.5;68.20927725404829;7.9
CAI 20 de Julio;4.572588;-74.092548;Lmax;1;129.9;66.47455128205142;5.6
CAI 20 de Julio;4.572588;-74.092548;Lmax;2;125.0;67.70858603066436;19.4
CAI 20 de Julio;4.572588;-74.092548;Lmax;3;134.3;67.91501095156958;17.9
CAI 20 de Julio;4.572588;-74.092548;Lmax;4;124.0;70.70663751214786;20.9
CAI 20 de Julio;4.572588;-74.092548;Lmax;5;116.8;73.4879941789959;27.7
CAI 20 de Julio;4.572588;-74.092548;Lmax;6;130.2;75.13589830508417;30.6
CAI 20 de Julio;4.572588;-74.092548;Lmax;7;121.9;75.78210804321739;33.6
CAI 20 de Julio;4.572588;-74.092548;Lmax;8;140.4;76.23028087167039;32.0
CAI 20 de Julio;4.572588;-74.092548;Lmax;9;123.3;76.21041194892767;34.7
CAI 20 de Julio;4.572588;-74.092548;Lmax;10;141.2;76.78785834738633;13.6
CAI 20 de Julio;4.572588;-74.092548;Lmax;11;122.0;76.68380792316928;20.7
CAI 20 de Julio;4.572588;-74.092548;Lmax;12;128.4;76.88388204012554;31.5
CAI 20 de Julio;4.572588;-74.092548;Lmax;13;123.7;76.97415496367975;15.7
CAI 20 de Julio;4.572588;-74.092548;Lmax;14;132.4;77.24581146744327;29.6
CAI 20 de Julio;4.572588;-74.092548;Lmax;15;134.1;77.05792251815937;31.2
CAI 20 de Julio;4.572588;-74.092548;Lmax;16;124.3;76.95579203109801;27.9
CAI 20 de Julio;4.572588;-74.092548;Lmax;17;124.8;76.7756585010912;31.9
CAI 20 de Julio;4.572588;-74.092548;Lmax;18;124.8;76.27403999036343;31.5
CAI 20 de Julio;4.572588;-74.092548;Lmax;19;129.7;75.8521100024334;34.9
CAI 20 de Julio;4.572588;-74.092548;Lmax;20;123.3;75.09902498180851;17.9
CAI 20 de Julio;4.572588;-74.092548;Lmax;21;127.1;74.26479591836696;30.0
CAI 20 de Julio;4.572588;-74.092548;Lmax;22;139.8;73.46077613388266;29.3
CAI 20 de Julio;4.572588;-74.092548;Lmax;23;139.2;71.67514431239421;29.4
CAI 20 de Julio;4.572588;-74.092548;Lmin;0;85.5;32.060449601160215;2.1
